conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/d87b1c64-eed1-404c-87de-f9f81c85fbde,8151.1,operator egreneermachine,0.0
Occupation,http://data.europa.eu/esco/occupation/35291723-dc32-4a7f-a9f0-39c0e5fd96dd,8151.2.1,spinner kunstvezel,0.0
Occupation,http://data.europa.eu/esco/occupation/107865e2-ba60-4e4f-b57d-4dd5064f517f,8151.2.2,operator twijnmachine,0.0
Occupation,http://data.europa.eu/esco/occupation/48cff102-9fe2-4e0f-8156-88fd8a686e6c,8151.2.3,garenspinner,0.0
Occupation,http://data.europa.eu/esco/occupation/59bbece0-d1dc-4f4a-845e-1523f68afb2d,8151.2,operator spinmachine,0.0
Occupation,http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,8151.3,operator spinnerij,0.0
Occupation,http://data.europa.eu/esco/occupation/4c86c7c1-0839-456e-856f-65396d1f39d7,8151.4,operator wikkelmachine textielindustrie,0.032258064516129
ISCO level 4,http://data.europa.eu/esco/isco/C8151,8151,"Bedieningspersoneel van machines voor het bereiden van spinvezels, het spinnen en het opwinden",0.004608294930875571
Occupation,http://data.europa.eu/esco/occupation/ab104661-db96-4752-8c84-97d98f6e8969,8152.1.1,supervisor breimachine,0.0
Occupation,http://data.europa.eu/esco/occupation/18b00c9e-3a07-4346-bb86-b1577554cf56,8152.1.2,breitechnicus,0.0
Occupation,http://data.europa.eu/esco/occupation/6da80214-d360-49ec-b1e7-172ab0a0cb0c,8152.1,operator breimachine,0.0
Occupation,http://data.europa.eu/esco/occupation/2b136e51-154b-4cb2-8130-f73228f14b11,8152.2,operator textielmachines,0.0
